dialogue ID,Emotion,Text,Points,,,,
char1_day1_part1,default,"Greetings, mortal. My servants tell me I can get my attire cleaned in this esteemed... establishment?",,,,,
char1_day1_part1_responce1,,"(Dry) Correct, I clean clothes.",+,,,,Vanya
char1_day1_part1_responce2,,"(Bubbly) Yes, silly! Didn't you see the huge neon sign that says ""Clean for the Mean""?",-,,,,
char1_day1_part1_responce3,,"(Fresh) Nice, looks like word of my ""esteemed establishment"" got around.",,,,,
char1_day1_part2,sad,"Indeed. Would you be able to return this here shirt to it's original, pristine condition?",,,,,
char1_day1_part3,happy,As you can see it is stained with blood.,,,,,
char1_day1_part3_responce1,,(Dry) I'm in business with evil. Getting rid of blood is my bread and butter.,,,,,
char1_day1_part3_responce2,,"(Bubbly) Oh, that's a big one! The other guy didn't live to tell the tale, I imagine. Good on you!",+,,,,
char1_day1_part3_responce3,,"(Fresh) Blood? That's looks more like wine to me, Pookie.",-,,,,
,,,,,,,
,,,,,,,
char1_day1_lowPoints_part1,default,It's a big stain and I can assure you it's blood. Blood indeed.,,,,,
char1_day1_lowPoints_part2,sad,And wine at all...,,,,,
char1_day1_lowPoints_part3,flirty,"I should know, I'm a vampire elder. Baronex Duskmantle of Midnight's Keep to be exact.",,,,,
char1_day1_part3_responce1,,"(Dry) It smells like wine, it looks like wine. I will treat it like wine.",-,,,,
char1_day1_part3_responce2,,"(Bubbly) But it smells like... Oooh, got it. Of course dear Baronex I will totally get rid of this BLOOD stain for you!",+,,,,
char1_day1_part3_responce3,,"(Fresh) Whatever the stain, I'll make sure to get that shirt back on you asap.",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
char1_text1_part1,happy,"Ich bin ein Vampir, magst du Vampire?",,,,,
char1_text1_part1_responce1,flirty,"Ja, ich liebe Vampire",+,,,,
char1_text1_part1_responce2,,"Nein, ich hasse Vampire",-,,,,
char1_text1_part2,,Ich habe viele Blutflecken,,,,,
char1_text1_part3,,"Nicht Wein, nur Blut!",,,,,
char1_text1_part3_responce1,,Ok...,,,,,
,,,,,,,
,,,,,,,
char1_text2_lowPoints_part1,happy,Bla bla bla bla bla bla bla,,,,,
char1_text2_lowPoints_part2,flirty,Blo blo blo blopp bloop?,,,,,
char1_text2_lowPoints_responce1,,Sure,,,,,
char1_text2_lowPoints_responce2,,Not here!,,,,,
,,,,,,,
char1_text2_hightPoints_part1,happy,Bla bla bla bla bla bla bla,,,,,
char1_text2_hightPoints_part2,flirty,Blo blo blo blopp bloop?,,,,,
char1_text2_hightPoints_responce1,,Sure,,,,,
char1_text2_lowPoints_responce2,,Not here!,,,,,
char2_text1_part1,happy,Bla bla bla bla bla bla bla,,,,,
char2_text1_part2,flirty,Blo blo blo blopp bloop?,,,,,
char2_text1_responce1,,Sure,,,,,
char2_text1_responce2,,Not here!,,,,,
,,,,,,,
char2_text2_lowPoints_part1,happy,Bla bla bla bla bla bla bla,,,,,
char2_text2_lowPoints_part2,flirty,Blo blo blo blopp bloop?,,,,,
char2_text2_lowPoints_responce1,,Sure,,,,,
char2_text2_lowPoints_responce2,,Not here!,,,,,
,,,,,,,
char2_text2_hightPoints_part1,happy,Bla bla bla bla bla bla bla,,,,,
char2_text2_hightPoints_part2,flirty,Blo blo blo blopp bloop?,,,,,
char2_text2_hightPoints_responce1,,Sure,,,,,
char2_text2_lowPoints_responce2,,Not here!,,,,,
